text,angry
i have tried to live a good honest life and yet it feels like im being punished,0
i wont say the insecure feelings are gone but if i feel shitty i just grab the card and read it,0
i wrote feel there rather than think or believe because i know objectively that i am smart probably smarter than most people but most of the time im more conscious of what i dont know than what i do know,0
i still don t feel devastated by the break up,0
im caught up on sleep and no longer feel like a zombie im excited to focus on being a good wife mother and homemaker again,0
i suppose i ended up feeling that some of these clues were a bit too clever for their own good,0
i end up feeling lonely,0
i was very happy with impact made by valbuena and diaby especially the latter who i feel has what it takes to overhaul a shaky usual starter,0
i could feel every muscle in my body working as one to move with grace i know me graceful power and control,0
i am feeling more confident that we will be able to take care of this baby,0
i also feel it is unfortunate that nearly all the readers of going to meet the man will be african americans unlike myself,0
i suppose it all goes along with feeling unwelcome and mostly being shunned,0
i genuinely feel pertaining to him suffering from that stanley said,0
i love your style and feel very comfortable with your writings,0
i would have to think oh the poor lady always being sick always being stressed feeling so isolated,0
i want him to become more fully himself and that is the joy i feel when like yesterday he says with an excited whisper mama,0
i remember wandering down a back road with my father sitting on my throne watching the trees whiz by feeling the rumble of our bike beneath us like a contented giant cat,0
i feel like im being punished for something that i didnt do,0
i don t always feel quite as graceful but that s a story for another time,0
i must say it was first numb then ouch my head feel dazed,0
my last genetices midterm a decent grade,0
im feeling inspired today,0
i was like ya i feel everything i m not numb at all,0
im just feeling insecure and while i can easily diagnose these dispositions it doesnt help,0
i feel so respected now,0
im with my boyfriend and friends i feel fine and genuinely happy but the minute im alone i feel depressed,0
i always feel vaguely suspicious giving my personal details to random strangers i tell myself not to give her my real date of birth,0
i was feeling pret t y tender let me tell you,0
i guess i feel betrayed because i admired him so much and for someone to do this to his wife and kids just goes beyond the pale,0
i just feel its more romantic when these characters do not jump on each other on the first opportunity they get,0
i feel stupid because i didnt buy in sooner,0
i feel that it is something that will never really be resolved,0
i feel ungrateful for stupid shit like,0
i wear funny cartoon t shirts of course with my favorite cartoon characters like bugs bunny and tweety bird that is when i feel humorous and in high spirits like going to a park or a mall with my crazy and dorky friends,0
i feel energetic and excited to see my results at the end of the week,0
i am feeling unsure of how to handle a new phase one of my kids is in or feeling badly for how i ve handled a situation this book is a clear reminder for me that my job is to help teach them each how to make good decisions,0
i feel doubtful and afraid,0
i feel vain today,0
i feel i should share with you this wonderful business concept that will change your life if like me you have little time to spend in the kitchen grocery shopping or browsing the net for new exciting recipes,0
climbing a mountain to see a view,0
i was dribbling on mums coffee table looking out of the window and feeling very happy,0
i learnt that expectations of people are not always met and may leave you feeling immensely disappointed most of the time,0
i am feeling like something sweet there is always fruit,0
i feel blessed that i am allowed to take things for granted,0
i don t know why this makes me feel so distraught,0
im feeling confident about it,0
im feeling slightly more graceful in the ballet of it all but thats always temporary,0
i said earlier that the overall feeling is joyful happy thankful and that s spoken in just about every other post i have of mason,0
i am reading something the saints have written i feel a real pang of sweet pain for the love they have for our lord,0
i dolphins feel sweet taste of victory defeat cincinnati bengals in overtime a href http twitter,0
i feel for goes far beyond artistic reverence,0
im feeling nostalgic about listening to this kind of music again,0
i wish that i could re establish a reasonable level of motivation that isnt predicated on the need to make people feel like less intelligent human beings than they probably are,0
i feel thrilled and quite humbled i wasn t expecting anything like that and it s a funny feeling,0
i guess but it feels like the most unpleasant joke youve ever heard,0
i don t feel sorry for wisdom i know how many sleep hui live to be now and enthusiasm for the new china s socialist construction work,0
i cant help to also feel a little restless,0
i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,0
i feel like i m just a good actress then maybe,0
i am still feeling good,0
im feeling kinda horny so i just booked a flight from burbank to los angeles,0
i feel i have to do its my creative calling my lifes passion,0
i will never forget as he shot the dye into me telling me ok youre going to feel a hot flash and then it will feel like youve pissed yourself,0
im feeling artistic here are a couple of drawings i did in the dust on ms car after it rained a couple of months ago,0
ive never been particularly bothered about my age or the ageing process and while i feel slightly surprised that im nearly i dont really mind,0
i thought it would be a good time to check in on weasel nation to see how they were feeling about their donut loving coach and their floundering football team,0
im trying to regroup after anatomy as ive been feeling depressed and exhausted for the past three weeks or so,0
i feel stumble a class content link href https plusone,0
i feel like im alone in missing him and because of that i feel a bit foolish for missing him as much as i do,0
i just know to begin with i am going to feel shy about it,0
i can say is that i feel like myself when i put on a skirt heels and lipstick and when i wear clothing which has come to be accepted as neutral and nondescript like a t shirt and jeans i dont feel like myself,0
i feel like i dont need school to be intelligent,0
i suppose a couple days of not feeling so hot is better than whooping cough the visit went really well,0
i feel splendid sublime euphoric,0
i wasnt feeling it and i didnt want to fake it,0
im feeling very remorseful at the moment,0
i was taught to complain and feel unhappy but it was not until quite recently i clearly understood the importance or gratitude and started to make it important in my life,0
i was stone heavier and feeling hopeless,0
i feel like i dont even know how to trust that im trusting well enough,0
i am under pressure at the place i spend most of my week on past experience i will tend to feel more unhappy for longer periods,0
i absolutely love working and the feeling of accomplishment i get from it but i am tangibly physically unhappy with the family life i am missing right now,0
ive this bad feeling that im being hated,0
i feel there are very smart people that can count all these numbers but i am not one,0
i feel lucky really,0
i do go for days as has happened recently i feel clearer and more compassionate,0
i don t know when i will want to tell her and feel guilty and disappointed that everything i am thinking about her and our relationship right now is negative,0
ive been feeling kinda gloomy lately,0
i feel extremely passionate about this topic because that person used to be me,0
i feel so dumb photographing myself okay i even feel dumb trying to smile for justin,0
i feel an ache when my phone chimes and it s not a sweet text from my sweetheart,0
i was literally swishing around in the water feeling like a very unsuccessful drowned hamster,0
i feel gracious what about you,0
i was doing less yoga and feeling more agitated by my impetuous decision,0
i feel strangely sympathetic towards the citizens of the capitol for some reason and the cast s overall chemistry was good the look and feel of the movie was great and i found the story to be engaging and interesting enough to be watchable,0
i am feeling the purpose of caring for those of us who are caregivers as well,0
im still a little mixed on how i feel about him back especially because i liked the a href,0
im on day of feeling lousy but im starting to feel human again,0
i feel assured that everything will be alright regardless of what im currently going through,0
i feel ok about this work because it is not so bad and it is not so good,0
i love this connection with the outdoors hearing the birds just returned from afar and my face getting nipped by the gentle chill of a spring breeze and feeling like im doing something productive,0
that day i was alone at home after coming home from school i did not know where everyone else had gone,0
i have been out there over the last few weeks i experienced for the first time a feeling of loving the actual act of running of pushing my daughter in the jogger of getting outsprinted by my wife although this would happen if i was in top shape anyway of having cold air nail you in the face,0
i feel amazed when i saw the final result even thos without fishes inside,0
i don t always feel a bit homesick,0
im just feeling whiney,0
i started out feeling amazing,0
i feel peaceful with them being where they are but miss them like crazy i get giddy from the picture texts and random phone calls,0
im in so much pain and i feel like a useless lump face,0
i feel so helpless knowing i cant protect them and i worry about the others now,0
i feel like a super hero now that she naps amp sleeps in her crib,0
i am feeling so proud,0
i feel a little lame admitting it because these are not high ticket price items however i didnt want to buy both so i had to make a choice,0
i want a relationship where partners empower each other not feel burdened by their histories and eccentricities,0
i have a well staffed office or a relatively less busy schedule things run more smoothly and i feel less stressed,0
i dont agree with this neo religious terminology or practice as i feel if one is to be faithful to a certain custom how is it believed that say a year old modification in commandment will be just as or more bona fide and sacred than its original gesture,0
i feel pretty shitty and it s not my fault other people don t appreciate what i do but still i can t help feeling as if i deserve it,0
i began to feel woeful as i stared into the abyss of goal less task less list less ness but luckily huda came to the rescue with in,0
i think hes well aware of the internets reactions to gates and igle leaving and i imagine hes probably feeling a bit apprehensive of fans reactions to his work,0
i didn t feel frightened i m rarely scared of any place but i couldn t help feeling uneasy in the company of so many big groups of men and the only woman visible anywhere,0
i feel like if i continue i ll start the babble and bore the heck out of anyone reading so i ll just try to finish it with a few thankful thoughts,0
i feel needy when i ask someone to hang out with me and i end up not trying after a few times of being told no i have plans sorry,0
i am feeling morose for i have been reading wuthering heights,0
i feel like the little dorky nerdy kid sitting in his backyard all by himself listening and watching through fence to the little popular kid having his birthday party with all his cool friends that youve always wished were yours,0
i feel that perhaps an opportunity was missed to look a little closer at the individual stories of the indigo tribe in their offline state it s easy to see that with the hal sinestro antics and the william hand side plot oh,0
i feel like if you shop smart you can still add a few things here and there to your wardrobe without breaking the bank,0
i sit six weeks into my sabbatical and i feel completely worthless,0
i dropped back to sleep for an hour or two and had very realistic peculiar dreams which are now stuck in my head making me feel a bit dazed,0
i start to feel more appreciative of what god has done for me,0
i feel no need to offer it though i do feel a bit suspicious in the area of is she doing this just to try and lump all the people who have bothered to argue cogently with her in with the woman hating misogynists,0
i feel blessed harper hasnt come down with anything worse but i know its only a matter of time,0
i wait to hear if you feel i should find this is acceptable,0
i hated feeling dumb,0
i was not feeling up to it yet i blamed my fiances deployment for bringing me down,0
i sit here at munching on vegetables hummus and ranch i am feeling very distraught,0
i think about them tomorrow tomorrow but right now i m tired and was already a bit frustrated so i m just feeling completely drained,0
i would plea all the emerging law students and lawyers and common people like us who feel they have to be punished should raise their voice and protest,0
i feel extremely shitty today,0
i notice that is generally toward the end of the day that i start feeling really doubtful,0
i feel relieved when she goes to bed because shes worn me out but im always excited to get her out of her crib the next day even when she wakes us up earlier than we want,0
i feel that i m so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me,0
i am definitely feeling a bit melancholy but ill save the reflections for tomorrow,0
i won t feel like there would be a dull moment with him,0
id feel so defeated and id have to lick my wounds,0
ill feel delighted,0
i am just feeling cranky and blue,1
i feel bitchy but not defeated yet,1
i know what it feels like he stressed glaring down at her as she squeezed more soap onto her sponge,1
i feel like taking a whack at someone s eye and spitting on it a cranky old lady i try to cheer myself up,1
i feel mmf and i cant be bothered to fight it,1
i know it so difficult especially when you feel you have been wronged,1
i feel sometimes i am like heartless tin woodman sometimes like cowardly lion but i really want to believe there is a href http www,1
i can really decode but im sorry i have to vomit my feelings out because i am so cranky and everything is getting on my nerves,1
i have a feeling there will be many sarcastic quotes in this and future posts about him yikes,1
i feel so damn fucking disgusted violated and hurt and angry and everything,1
i told her that i woke up feeling mad that i am a woman and that i am probably always going to have to worry about being raped,1
i didnt feel rushed,1
i feel a tad bit envious of my younger self i was in great running shape young and had my whole life ahead of me,1
i feel like hes a little pissed at me,1
im feeling more fucked up than last night,1
i can feel violent biff whole length is hit by thunder same desire fire is ignited very quickly,1
im not crying in a corner or feeling so out of control irritable that i cant handle it,1
i feel cold in,1
when i was doing research a few months ago,1
i don t feel all that petty about crying over skin,1
i feel insulted by saying real is bigger than man u real is a cows shit,1
i have a lot of feelings of love and warmth for her but sometimes i think i tortured her,1
i feel insulted as if he feels he doesn t have to work for my money anymore he can put out anything people will buy it and radio will find something to play just because its him,1
i mean i feel like such a fucking obnoxious bitch admitting this but i get a lot of messages from guys on myspace during the week,1
i often feel offended when people other fans think i name my son joshua as joshua in josh groban,1
i think my taiko experience so far has been at the root of my feeling dissatisfied and somewhat unhappy lately but theres just something else that i havent been able to explain,1
i suspect that it will really appeal to christian readers but as an atheist i ended up feeling insulted by its religious message and its treatment of the topic,1
i feel like waiting for you to be online and you didnt makes me furious,1
i mean if someone wrote fanfiction about my book and made my villain gay for say druian i d be sitting there reading it and feeling furious,1
i have a feeling often and often that its dangerous to wait for things that if you wait for things they only go further and further away,1
i feel like thats petty so i convince myself that i dont give a shit,1
i really have much of a clue how my ex actually feels or felt about anything really except that he hated it when i didnt screw the lids back on jars in the kitchen,1
i don t know this shit happens but every time i find out about yet another secret makeshift graveyard full of women s bones i feel that enraged impotence just like it was the first time,1
i do not feel outraged by the change in name changing tanjore to thanjavur and mysore to mysuru makes more sense but since the previous cities were named by the very people who made them what they are today from mere villages to major power centres it s not a crime to retain those names,1
i do reviews only on my personal experience please do not feel insulted or put off by my words i intend only to advise,1
im feeling less grumpy after that,1
i feel i have rushed moments where i begin to take this life here for granted i just look at them they look at me and my graced life becomes the stage again warts crushed worms under foot and all the other conflicts that come with it,1
when i noticed two spiders running on the floor in different directions,1
i feel bitter about me being like this but then i really am not,1
i feel rude taking pictures of them,1
i feel complimented or insulted,1
i feel grumpy i am short with my wife or children,1
i got a feeling that it was rushed to,1
i feel tortured being away from my baby,1
im feeling kind of petty and selfish,1
i feel irritable when he starts talking about it because it can go on for ev er,1
i was feeling somewhat irritable through the whole thing,1
i am feeling too grouchy to be properly penitential,1
i had the same physical problems years ago that i have today i would have thought i would never make it to while i now feel less bothered by those same problems since i dont have a choice and dont care to let them bother me,1
id love to go shopping for sure because i am annoyed feeling bitchy as of right now towards everyone especially you you you,1
im going to have to spend the next five hours listening to three days grace to work it out of my system and you know how i feel about their rebellious apostrophe neglect,1
im feeling very agitated right now,1
i had started about two days ago with some sound sensitivity that i hadnt been having for a little while and then i started with feeling almost like motion if you will from movements and then started with smell sensitivity but luckily it hasnt bothered me since last night,1
i really dont think seriously happy and focused like i am familiar with feeling nonetheless rather i feel strangely distracted and uncomfortable,1
i almost always feel dissatisfied with novels after i finish them,1
i wrote maybe a truth because i want to tell one guy something and i am afraid to tell him how i feel because he pissed me off,1
i can feel her pissed off attitude towards me from far away,1
i stop working on my homework and take a break without feeling irritable,1
i enjoyed it for the most part for an entertainment value due to it being a fast and mostly fun read i also had several qualms with it at the same time that left me feeling dissatisfied,1
i feel tortured,1
i feel greedy to want it to recede some more but there you have it i do want that,1
i feel angered by this and confused on how she could remarry already and especially to my father s own brother,1
i feel so rebellious on my parents for not letting them know what i m doing for the moment and for my friends who were away for a long time and were thrilled to meet me there,1
i actually just took a two hour break because i was feeling too pissed to keep writing,1
i can feel the ice cold water freezing my insides especially coming in through the bottom of my feet and the numbness starts,1
i feel so disgusted with myself for feeling the way i do,1
i was feeling very bitter towards him so my responses where kind of cold,1
i feel like i have to fucking go back and clarify every statement so that i dont get people agitated,1
i suddenly feel like the grouchy grinch or jack skellington,1
i think about it i feel a rushed mixture of excitement and nerves,1
i feel that i dont have to get so envious,1
i listened to oral arguments for a case that left me feeling frustrated and confused,1
i feel as though marjane had to live a very rushed childhood not so much for what was happening in her surroundings but because of her eager need to know everything,1
i feel disgusted by u,1
i let emotion leak into the decision process and ended up with m feeling resentful,1
i still feel violent but my ideas of torturing are far more tame than they were yesterday,1
i want and don t want but i m starting to feel resentful about him missing all the signals i m sending him,1
i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,1
i don t know if it s normal to feel cranky and weepy at this stage of my pregnancy but lately i ve been feeling really sad and disappointed for not giving birth last weekend after i felt that i was having labor pains early friday morning until the morning of saturday,1
im feeling kind of irritated that the school year is over halfway over and all hes been getting is speech,1
i know that god has a huge plan for my life but i cant stop myself from feeling impatient and i know its bad but i sometimes well almost all the time question him about this,1
i feel like i want to hide away amp be distracted at the same time,1
i feel it was very rude to put a camera that close to anybody s face in any situation,1
i often feel angry or wound up about all the injustices and while the concerns are important and taking action is worthwhile existing in a constant state of feeling over wound cant be healthy,1
i hide what i am truly feeling thinking for fear that it will lead to something far more dangerous,1
i was feeling mad about the dress and mad at myself for being mad about the dress,1
i feel myself becoming vicious once more,1
i feel jealous angry or bitter ask why,1
i still feel like the debate was vicious on both sides,1
i lost touch with her several years ago and feel a little bitter towards her and yet not quite willing to get rid of a reminder of the good times we had,1
i see wonderful godly parents taking care of their childrens i praise god even though i feel jealous,1
i type this i can see my unacceptably huge muffin top protruding out of my top and i feel disgusted that i am letting all my hard work of previous rounds go to waste,1
i feel im really just pissed,1
i tried to build up layer after layer of pencil to obtain definition and again i was left feeling dissatisfied,1
im feeling pretty resentful,1
when my father shouted at me for going to a party with my sister,1
i am so busy feeling disgusted of myself that i have no mood to revenge on them,1
i was feeling pretty bitchy,1
i knew i was feeling agitated irritated and depressed all at the same time,1
i feel need to be stressed to be shared,1
i have bad feelings towards guys because all the men in my family are really stubborn very aggressive and very competitive,1
im seeing the sausage being made but rather than feeling appalled im broadening my understanding of what makes a good book,1
i was feeling a little more resentful of what appeared to be poor planning by the organizers,1
i feel suck mad and sad,1
i feel it more when i see you not bothered,1
i have to find myself sitting in front of the consultant feeling furious and increasingly upset at her patronising refusal to allow me to make a choice over the kind of birth i wanted,1
i just feel annoyed at the way they share their success or even just the way they talk,1
i was feeling kind of hostile anyway so that was okay with me,1
i feel as hungers savage tooth and when no dinner is in sight the dinner bells a sound of ruth,1
i didn t take the time to count the money partly because the cashier was already ringing up the next customer and i was feeling a bit rushed and in the way with the next person in line crawling up my back,1
i also at first felt a hint of guilt but it was for a short period of time and then i just started to feel pissed off with the harassment,1
i didnt think that it would come that fast or would come at all but i suppose it is because i feel cranky today,1
i began to feel like maybe i had rushed into this and not prayed or thought through it enough,1
i feel no bitter feelings for the fans that drove me out of the fandom anymore either,1
i am feeling stressed like that is to the water,1
i feel like the nytimes publishes an article like this every year or so and each time we get pissed and feisty quick to lash out with a slew of offended and defensive responses,1
i feel pretty fucked up these days cant breathe properly,1
i told him that i have been feeling like he cant really be bothered with me,1
i couldnt help but feel a little selfish for wanting her to stay but in relationships of this sort youd better get used to some premature goodbyes,1
i dont know what exactly i feel mostly annoyed and bored and upset and that kind of negative emotions,1
i cant help feeling like something violent happened as soon as the cameras turned off wish i could find it on youtube,1
im tired of feeling annoyed and drained,1
i mean i feel like i always have to be someone else for people to like me becuase they wont understand my sarcastic side,1
i said it when i read about people who are loosing more weight losing it quicker or who are just being generally more fabulous than me i feel envious,1
i wanted to press charges against the people up the street and i guess he didnt feel like being bothered,1
i feel food smarter already and slightly annoyed calories counting is so annoying,1
im feeling kinda grumpy so im going to post videos that cheer me up,1
i feel like i just don t want to be bothered i just listen to music,1
i am feeling frustrated or angry with my husband in general,1
i have a train case full of pretty make up and a drawer full of great hair products but each morning i feel bothered to do little more then lather my face with lotion before heading out for work,1
i never knew i could be so weak i couldnt even fight what i was feeling i knew i hated to feel that way yet i just let the emotions run free i acted waaay childishly like a child deprived of candies,1
im fine but i feel i have wronged someone,1
i cannot help but feel insulted that my master did not see the need to greet me upon my waking,1
i feel as if there is anyone who really understands the insincere motives of females its me,1
i feel a cold or sore throat coming on i simply use a onguard regime to nip it in the bud,1
i feel frustrated cause i think i know whats best,1
i am generally not a fan of tingling cleansers as my skin can be quite sensitive but this doesnt give me rashes or leave my skin feeling too irritated,1
i made her feel like crap and i said i hated her and i stopped loving her before the summer because shes never home anymore,1
i feel rude if i bbm non stop,1
i feel quite distracted as mum told me that my paws werent looking their best so instead of a nap ive had to do another pawdicur,1
i can remember mailing my first notice of intent into the school board and feeling terribly rebellious and nervous,1
i do not know what to say here i could not get a feeling for this soundtrack it rather distracted me and did not seem to really fit,1
i had been feeling resentful of my parents for some few hours,1
im just tired of feeling bitchy and completely worthless,1
i feel like youve hated me ever since i was born and you wish i was never born,1
i also feel the circumstances are out of my control and hostile,1
i aimlessly do whatever i feel like doing with no sense of rhyme or reason and get easily distracted and start something else bouncing pointlessly without finishing what i started,1
i have a feeling that she is going to be very annoyed with me by the end of the race because i am going to be more interested in taking pictures than paying attention to pace,1
i started to feel a lil bit pissed off when i shared out advertorial by creating blog post or sharing in my social networking but there are some other people out there sharing out their adverts by asking people to click on those links,1
i never feel like it s actually dangerous but the sirens drown out the pogues and the reggae both about three times an hour,1
i feel so hateful this morning,1
i have a task i hate to do i put the kitchen timer on for fifteen minutes it makes me feel like i wont be tortured for long,1
i feel like im so spiteful so negative about everything and everyone now,1
i feeling so aggravated about all of this,1
i honestly was not sure if the pain i was feeling was a case of irritable bowels or indeed contractions,1
i have a feeling that the robin that builds her next under our deck is getting pissed too,1
